,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,Genero
3869,565770,Blue Beetle,7.139,1023,Released,2023-08-16,124818235,128,False,120000000,en,Blue Beetle,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",2994.357,Jaime Reyes is a superhero whether he likes it or not.,"Action, Science Fiction, Adventure","Warner Bros. Pictures, The Safran Company, DC Films",United States of America,"English, Portuguese, Spanish","['Action', 'Science Fiction', 'Adventure']"
5048,980489,Gran Turismo,8.068,702,Released,2023-08-09,114800000,135,False,60000000,en,Gran Turismo,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,2680.593,From gamer to racer.,"Action, Drama, Adventure","PlayStation Productions, 2.0 Entertainment, Columbia Pictures",United States of America,"English, German, Japanese","['Action', 'Drama', 'Adventure']"
7928,968051,The Nun II,6.545,365,Released,2023-09-06,231200000,110,False,38500000,en,The Nun II,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",1692.778,Confess your sins.,"Horror, Mystery, Thriller","New Line Cinema, Atomic Monster, The Safran Company",United States of America,"English, French","['Horror', 'Mystery', 'Thriller']"
2129,615656,Meg 2: The Trench,6.912,2034,Released,2023-08-02,384056482,116,False,129000000,en,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,1567.273,Back for seconds.,"Action, Science Fiction, Horror","Apelles Entertainment, Warner Bros. Pictures, di Bonaventura Pictures, CMC Pictures, DF Pictures, Onaroll Productions","China, United States of America",English,"['Action', 'Science Fiction', 'Horror']"
9949,762430,Retribution,6.816,258,Released,2023-08-23,12905464,91,False,20000000,en,Retribution,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",1547.22,All roads lead to the truth.,"Action, Mystery, Thriller, Crime","StudioCanal, The Picture Company, Ombra Films","France, United States of America","English, German","['Action', 'Mystery', 'Thriller', 'Crime']"
4022,1008042,Talk to Me,7.214,973,Released,2023-07-26,72600000,95,False,4500000,en,Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",1458.514,You call. They'll answer.,"Horror, Thriller","Causeway Films, Metrol Technology, Screen Australia, South Australian Film Corporation, Bankside Films, Head Gear Films, Adelaide Film Festival Investment Fund","Australia, United Kingdom",English,"['Horror', 'Thriller']"
1110,385687,Fast X,7.265,3881,Released,2023-05-17,704709660,142,False,340000000,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",1175.267,The end of the road begins.,"Action, Crime, Thriller","Universal Pictures, Original Film, One Race, Perfect Storm Entertainment",United States of America,English,"['Action', 'Crime', 'Thriller']"
6398,678512,Sound of Freedom,7.973,503,Released,2023-07-03,212587173,131,False,15000000,en,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",1111.036,Fight for the light. Silence the darkness.,"Action, Drama",Santa Fe Films,United States of America,"English, Spanish","['Action', 'Drama']"
825,346698,Barbie,7.279,5074,Released,2023-07-19,1428545028,114,False,145000000,en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",1069.34,She's everything. He's just Ken.,"Comedy, Adventure, Fantasy","LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel","United Kingdom, United States of America",English,"['Comedy', 'Adventure', 'Fantasy']"
1799,976573,Elemental,7.757,2467,Released,2023-06-14,486797988,102,False,200000000,en,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",1008.942,Opposites react.,"Animation, Comedy, Family, Fantasy, Romance","Walt Disney Pictures, Pixar",United States of America,English,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']"
8192,820609,No One Will Save You,6.897,345,Released,2023-09-22,0,93,False,22800000,en,No One Will Save You,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,961.212,A home invasion no one saw coming.,"Horror, Science Fiction, Thriller","20th Century Studios, Star Thrower Entertainment",United States of America,English,"['Horror', 'Science Fiction', 'Thriller']"
26081,951491,Saw X,7.321,56,Released,2023-09-26,29300000,118,False,13000000,en,Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",949.967,Witness the return of Jigsaw.,"Crime, Horror, Thriller","Twisted Pictures, Lionsgate",United States of America,"English, Spanish","['Crime', 'Horror', 'Thriller']"
5840,717930,Kandahar,6.866,575,Released,2023-05-25,3000000,119,False,0,en,Kandahar,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",708.536,The only thing more dangerous than the mission is the escape.,"Action, Thriller","Thunder Road, G-BASE, MBC Studios, Capstone Pictures","United Arab Emirates, United States of America",English,"['Action', 'Thriller']"
1362,667538,Transformers: Rise of the Beasts,7.492,3270,Released,2023-06-06,429800000,127,False,195000000,en,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",616.74,Unite or fall.,"Action, Adventure, Science Fiction","Skydance, Paramount, di Bonaventura Pictures, Bay Films, New Republic Pictures, Tom DeSanto/Don Murphy Production, Hasbro",United States of America,"Quechua, Spanish, English","['Action', 'Adventure', 'Science Fiction']"
27548,790493,Spy Kids: Armageddon,6.588,51,Released,2023-09-22,0,98,False,0,en,Spy Kids: Armageddon,"When the children of the world’s greatest secret agents unwittingly help a powerful game developer unleash a computer virus that gives him control of all technology, they must become spies themselves to save their parents and the world.",613.403,Meet the next generation.,"Family, Comedy, Action, Adventure","Skydance, Spyglass Media Group, Double R Productions",United States of America,English,"['Family', 'Comedy', 'Action', 'Adventure']"
2443,335977,Indiana Jones and the Dial of Destiny,6.679,1748,Released,2023-06-28,382891104,155,False,294700000,en,Indiana Jones and the Dial of Destiny,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",579.252,A legend will face his destiny.,"Adventure, Action",Lucasfilm Ltd.,United States of America,English,"['Adventure', 'Action']"
952,569094,Spider-Man: Across the Spider-Verse,8.442,4394,Released,2023-05-31,683241751,140,False,100000000,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",512.336,It's how you wear the mask that matters.,"Animation, Action, Adventure","Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions",United States of America,"English, Hindi, Italian, Spanish","['Animation', 'Action', 'Adventure']"
17442,670292,The Creator,7.5,107,Released,2023-09-27,0,134,False,80000000,en,The Creator,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",496.806,This is a fight for our very existence.,"Science Fiction, Action, Thriller","New Regency Pictures, Entertainment One, Regency Enterprises, Bad Dreams","Canada, United States of America","English, Japanese, Thai, Vietnamese","['Science Fiction', 'Action', 'Thriller']"
5319,614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.328,652,Released,2023-07-31,172000000,100,False,70000000,en,Teenage Mutant Ninja Turtles: Mutant Mayhem,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",484.876,Heroes aren't born. They're mutated.,"Animation, Comedy, Action","Paramount, Nickelodeon Movies, Point Grey Pictures, Mikros Animation, Cinesite Animation","Canada, France, United States of America","English, Mandarin","['Animation', 'Comedy', 'Action']"
20751,299054,Expend4bles,6.685,81,Released,2023-09-15,15000000,103,False,100000000,en,Expend4bles,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",484.627,They'll die when they're dead.,"Action, Adventure, Thriller","Millennium Media, Campbell Grobman Films, Lionsgate",United States of America,English,"['Action', 'Adventure', 'Thriller']"
905,603692,John Wick: Chapter 4,7.814,4639,Released,2023-03-22,426978565,170,False,90000000,en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",482.538,"No way back, one way out.","Action, Thriller, Crime","Thunder Road, 87Eleven, Summit Entertainment, Studio Babelsberg","Germany, United States of America","Arabic, Cantonese, English, French, German, Japanese, Latin, Russian, Spanish","['Action', 'Thriller', 'Crime']"
1520,298618,The Flash,6.898,2959,Released,2023-06-13,268375616,144,False,300000000,en,The Flash,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",480.393,Worlds collide.,"Action, Adventure, Science Fiction","Warner Bros. Pictures, Double Dream, The Disco Factory, DC Films",United States of America,"English, Spanish, Russian","['Action', 'Adventure', 'Science Fiction']"
